License,DBAName,Address,City,State,Zip,Latitude,Longitude
0.0,CHICAGO GETAWAY HOSTEL,616 W ARLINGTON PL ,CHICAGO,IL,60614.0,41.92682500249671,-87.64470626566694
1.0,HARVEST CRUSADES MINISTRIES,118 N CENTRAL AVE ,CHICAGO,IL,60644.0,41.882845074718844,-87.76509545204391
2.0,COSI,230 W MONROE ST ,CHICAGO,IL,60606.0,41.880757158647214,-87.6347092983425
9.0,XANDO COFFEE & BAR / COSI SANDWICH BAR,116 S MICHIGAN AVE ,CHICAGO,IL,60603.0,41.880395838259616,-87.62450172159464
40.0,COSI,233 N MICHIGAN AVE ,CHICAGO,IL,60601.0,41.886567370886944,-87.62438467059714
43.0,COSI,28 E JACKSON BLVD ,CHICAGO,IL,60604.0,41.87834161206342,-87.62667499148682
62.0,XANDO COFFEE & BAR / COSI SANDWICH BAR,230 W WASHINGTON ST ,CHICAGO,IL,60606.0,41.88331785985083,-87.63476909461744
85.0,XANDO COFFEE & BAR / COSI SANDWICH BAR,55 E GRAND AVE ,CHICAGO,IL,60611.0,41.891590741083505,-87.62586713724458
99.0,XANDO COFFEE & BAR / COSI SANDWICH BAR,203 N LA SALLE ST ,CHICAGO,IL,60601.0,41.88582204785303,-87.63230373508569
104.0,VITO & NICK'S LOUNGE,8433-8435 S PULASKI RD ,CHICAGO,IL,60652.0,41.73932941000113,-87.72143966255604
115.0,JOHN SCHALLER,3714 S HALSTED ST ,CHICAGO,IL,60609.0,41.82718501563474,-87.6461704563508
126.0,"CAL'S 400 LIQUORS, INC.",400 S WELLS ST ,CHICAGO,IL,60607.0,41.876784831445576,-87.63383891021036
139.0,KILDARE LIQUORS,4300 W LAWRENCE AVE ,CHICAGO,IL,60630.0,41.968267042285326,-87.73549834843345
143.0,GEORGE BOZIC,1964 W LAWRENCE AVE ,CHICAGO,IL,60640.0,41.968872040025246,-87.67871952790091
146.0,JEAN SAMOCKI,2032 W ARMITAGE AVE ,CHICAGO,IL,60647.0,41.917841383782495,-87.67893682868015
147.0,Islands,3854-3856 N ASHLAND AVE ,CHICAGO,IL,60613.0,41.952259233971795,-87.66914434619949
149.0,FOX'S BEVERLY PUB,9956 S WESTERN AVE ,CHICAGO,IL,60643.0,41.712012133229095,-87.68193540843004
153.0,JEFFERY PUB,7041 S JEFFERY BLVD ,CHICAGO,IL,60649.0,41.7668180675386,-87.5761708282342
158.0,BURWOOD TAP,724 W WRIGHTWOOD AVE ,CHICAGO,IL,60614.0,41.92920519052382,-87.64752248718568
164.0,POTASH BROS. SUPERMARKET,1525 N CLARK ST ,CHICAGO,IL,60610.0,41.910117944887425,-87.63149089141778
207.0,RIVER SHANNON,425 W ARMITAGE AVE ,CHICAGO,IL,60614.0,41.918197786473826,-87.63974737355731
215.0,KAREGIANES INC,7043 W GRAND AVE ,CHICAGO,IL,60707.0,41.92343297105639,-87.80248081451981
218.0,LAURIE'S REST & COCKTAIL LOUNG,5153 N BROADWAY ,CHICAGO,IL,60640.0,41.97616536053114,-87.6597154797116
229.0,69TH ST. CERTIFIED,1906 W 69TH ST ,CHICAGO,IL,60636.0,41.76857751665232,-87.67151318236414
239.0,OLD TIMERS REST & LOUNGE,75 E LAKE ST ,CHICAGO,IL,60601.0,41.88562425462461,-87.6252964950646
241.0,HOP HAUS ROGERS PARK,7541-7545 N CLARK ST ,CHICAGO,IL,60626.0,42.018903507079344,-87.67595814790334
244.0,HAROLD HANSON,2613 W FULLERTON AVE ,CHICAGO,IL,60647.0,41.92474046540935,-87.69313234685238
246.0,C AND K LIQUOR INC,12034 S MICHIGAN AVE ,CHICAGO,IL,60628.0,41.6752737452078,-87.62057527912069
255.0,MARIE WUCZYNSKI'S RIPTIDE,1745 W ARMITAGE AVE ,CHICAGO,IL,60622.0,41.91775522989335,-87.67198816311462
257.0,GEJA'S CAFE,340-344 W ARMITAGE AVE ,CHICAGO,IL,60614.0,41.918445336371185,-87.63800742700411
260.0,PARK MANOR LOUNGE,7109 S DR MARTIN LUTHER KING JR DR ,CHICAGO,IL,60619.0,41.7653946151022,-87.61511045385711
265.0,THE CLOSET,3325 N BROADWAY ,CHICAGO,IL,60657.0,41.94264743041398,-87.64433253937591
271.0,ROMA'S REST,9273 S SOUTH CHICAGO AVE ,CHICAGO,IL,60617.0,41.726723093908134,-87.55094326211271
276.0,"BUTCH MC GUIRE'S, INC.",20 W DIVISION ST ,CHICAGO,IL,60610.0,41.90403823021623,-87.62950232369501
289.0,SANDERS LOUNGE,700 W 59TH ST ,CHICAGO,IL,60621.0,41.787176102030394,-87.64259901750826
313.0,O'NEIL'S BAR & GRILL,152 E ONTARIO ST ,CHICAGO,IL,60611.0,41.89345958880933,-87.62337423955239
316.0,LINCOLN TAVERN & RESTAURANT,1858 W WABANSIA AVE ,CHICAGO,IL,60622.0,41.912456471408795,-87.67501225752257
319.0,LITTLE JOE'S CIRCLE LOUNGE INC,1041 W TAYLOR ST ,CHICAGO,IL,60607.0,41.86937117592203,-87.65278082182138
340.0,ALGIER LOUNGE,5436 W MONTROSE AVE ,CHICAGO,IL,60641.0,41.96063355649603,-87.7638167833572
349.0,KELLY'S PUB,949 W WEBSTER AVE ,CHICAGO,IL,60614.0,41.92163661876611,-87.65300408425684
353.0,SKYWAY LANES,9915 S TORRENCE AVE ,CHICAGO,IL,60617.0,41.71488533977168,-87.55962172308115
366.0,H & L LIQUORS INC.,4709 N DAMEN AVE ,CHICAGO,IL,60625.0,41.96720263849853,-87.67899488456267
368.0,GOLDIES,3839 N LINCOLN AVE ,CHICAGO,IL,60613.0,41.95159798252976,-87.6768105097822
373.0,ALBET INVESTMENTS LTD,7463-7465 S VINCENNES AVE ,CHICAGO,IL,60621.0,41.75823400843853,-87.6311709946953
376.0,ALBET INVESTMENTS,7465 S VINCENNES AVE ,CHICAGO,IL,60621.0,41.75818264439629,-87.63119556179363
383.0,MIKES LIQUORS,3135 W MONTROSE AVE ,CHICAGO,IL,60618.0,41.961083923126395,-87.70724120876541
385.0,"MR BEEF ON HARLEM, LTD",3917 N HARLEM AVE ,CHICAGO,IL,60634.0,41.9512746694024,-87.80706638213873
404.0,CELTIC CROWN,4301 N WESTERN AVE ,CHICAGO,IL,60618.0,41.95953927581488,-87.68848380383307
407.0,THE MID DAY CLUB,76 W MONROE ST ,CHICAGO,IL,60603.0,41.88080970029171,-87.63058092066868
410.0,CAMBRIDGE HOUSE RESTAURANT,167 E OHIO ST ,CHICAGO,IL,60611.0,41.89244892251652,-87.62276316587196
415.0,VITANGELO'S PIZZA & RESTAURANT,3644 W FULLERTON AVE ,CHICAGO,IL,60647.0,41.92469107502236,-87.7188292868979
