License #,DBA Name,Address,City,State,Zip,Latitude,Longitude
0,CHICAGO GETAWAY HOSTEL,616 W ARLINGTON PL ,CHICAGO,IL,60614,41.926825,-87.64470627
1,HARVEST CRUSADES MINISTRIES,118 N CENTRAL AVE ,CHICAGO,IL,60644,41.88284507,-87.76509545
2,COSI,230 W MONROE ST ,CHICAGO,IL,60606,41.88075716,-87.6347093
9,XANDO COFFEE & BAR / COSI SANDWICH BAR,116 S MICHIGAN AVE ,CHICAGO,IL,60603,41.88039584,-87.62450172
40,COSI,233 N MICHIGAN AVE ,CHICAGO,IL,60601,41.88656737,-87.62438467
43,COSI,28 E JACKSON BLVD ,CHICAGO,IL,60604,41.87834161,-87.62667499
62,XANDO COFFEE & BAR / COSI SANDWICH BAR,230 W WASHINGTON ST ,CHICAGO,IL,60606,41.88331786,-87.63476909
85,XANDO COFFEE & BAR / COSI SANDWICH BAR,55 E GRAND AVE ,CHICAGO,IL,60611,41.89159074,-87.62586714
99,XANDO COFFEE & BAR / COSI SANDWICH BAR,203 N LA SALLE ST ,CHICAGO,IL,60601,41.88582205,-87.63230374
104,VITO & NICK'S LOUNGE,8433-8435 S PULASKI RD ,CHICAGO,IL,60652,41.73932941,-87.72143966
115,JOHN SCHALLER,3714 S HALSTED ST ,CHICAGO,IL,60609,41.82718502,-87.64617046
126,"CAL'S 400 LIQUORS, INC.",400 S WELLS ST ,CHICAGO,IL,60607,41.87678483,-87.63383891
139,KILDARE LIQUORS,4300 W LAWRENCE AVE ,CHICAGO,IL,60630,41.96826704,-87.73549835
143,GEORGE BOZIC,1964 W LAWRENCE AVE ,CHICAGO,IL,60640,41.96887204,-87.67871953
146,JEAN SAMOCKI,2032 W ARMITAGE AVE ,CHICAGO,IL,60647,41.91784138,-87.67893683
147,Islands,3854-3856 N ASHLAND AVE ,CHICAGO,IL,60613,41.95225923,-87.66914435
149,FOX'S BEVERLY PUB,9956 S WESTERN AVE ,CHICAGO,IL,60643,41.71201213,-87.68193541
153,JEFFERY PUB,7041 S JEFFERY BLVD ,CHICAGO,IL,60649,41.76681807,-87.57617083
158,BURWOOD TAP,724 W WRIGHTWOOD AVE ,CHICAGO,IL,60614,41.92920519,-87.64752249
164,POTASH BROS. SUPERMARKET,1525 N CLARK ST ,CHICAGO,IL,60610,41.91011794,-87.63149089
